Designator,Mid X,Mid Y,Rotation,Layer
C1,52.6714,32.0826,90.0,top
C2,52.8228,27.3328,0.0,top
C3,46.2198,28.933,90.0,top
C4,50.868,35.663,180.0,top
C5,50.868,37.9744,180.0,top
C6,47.7571,59.3094,180.0,top
C901,13.8094,9.121,0.0,top
C902,18.6862,9.0956,0.0,top
C903,12.768,24.9706,270.0,top
C904,8.6278,24.3864,270.0,top
C905,10.7614,38.966,90.0,top
C906,22.801,13.7438,0.0,top
C907,9.1358,35.4354,90.0,top
C908,11.244,35.7656,180.0,top
C909,14.2666,36.7562,0.0,top
C910,11.4218,36.7562,180.0,top
C911,18.2798,30.6348,0.0,top
C912,14.9437,17.1728,0.0,top
C913,7.18,27.7138,180.0,top
C914,7.18,26.3422,180.0,top
C915,7.119,31.885,180.0,top
C916,18.8386,25.8342,0.0,top
D1,2.6467,57.2774,270.0,top
D10,22.9159,52.6546,270.0,top
D11,27.9959,57.4298,270.0,top
D12,27.9959,52.6282,270.0,top
D13,33.1267,57.3546,270.0,top
D14,33.1267,52.6546,270.0,top
D15,38.2067,57.4298,270.0,top
D16,38.2067,52.681,270.0,top
D17,33.9262,42.268,180.0,top
D18,26.0522,18.5444,90.0,top
D19,53.1276,23.1418,270.0,top
D2,2.6467,52.553,270.0,top
D20,45.0758,14.1756,0.0,top
D21,39.2348,36.7054,90.0,top
D22,39.2348,29.1108,90.0,top
D23,32.8086,16.8426,270.0,top
D24,43.7306,28.3224,270.0,top
D25,38.8284,20.297,90.0,top
D26,38.8284,15.09,0.0,top
D27,38.4981,42.395,0.0,top
D3,7.6759,57.379,270.0,top
D4,7.6759,52.6546,270.0,top
D5,12.8067,57.4552,270.0,top
D6,12.8321,52.7308,270.0,top
D7,17.9375,57.506,270.0,top
D8,17.9375,52.7806,270.0,top
D9,22.9159,57.4298,270.0,top
D901,33.3166,33.8352,180.0,top
D904,9.3644,9.4258,180.0,top
HOLDER1,27.619,31.385,0.0,top
J1,25.7982,9.8952,0.0,top
J2,4.3739,63.2858,180.0,top
J901,6.019,4.685,0.0,top
L1,45.661,34.6216,90.0,top
Q1,52.0872,14.709,0.0,top
R1,1.0211,58.4458,270.0,top
R10,28.2112,18.7984,270.0,top
R11,50.7156,31.473,180.0,top
R12,43.6036,24.8436,90.0,top
R13,44.5942,24.8436,90.0,top
R14,4.819,35.385,270.0,top
R15,39.069,43.919,0.0,top
R16,34.5866,43.9698,180.0,top
R2,6.0503,58.395,270.0,top
R3,11.0795,58.4458,270.0,top
R4,16.2611,58.4845,270.0,top
R5,21.2903,58.5087,270.0,top
R6,26.3195,58.4966,270.0,top
R7,31.4503,58.4966,270.0,top
R8,36.5303,58.4458,270.0,top
R9,26.0522,15.8012,270.0,top
R901,5.402,3.81,0.0,top
R902,7.1425,5.2094,180.0,top
R903,10.8376,24.4118,90.0,top
R904,9.7708,24.3864,90.0,top
R905,34.104,31.8165,90.0,top
R906,20.642,16.3346,90.0,top
R907,21.6834,16.3346,90.0,top
R908,12.895,36.1466,90.0,top
SW1,26.1284,37.6198,0.0,top
SW901,15.9684,13.8708,180.0,top
U1,32.453,24.361,0.0,top
U2,49.1662,28.6526,90.0,top
U901,12.9762,30.589,180.0,top
U902,16.669,4.585,180.0,top
U903,17.975,20.5256,90.0,top
Y901,13.5554,39.1184,180.0,top
