Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,4u7 50V,C515689
"C2, C3, C5, C6",0805,4,100n 50V,C49678
C4,0805,1,10u 25V,C15850
"C901, C902",0603,2,10u,
"C903, C904, C907, C908, C911, C912, C913, C914, C915, C916",0402,10,100n,
"C905, C906",0402,2,1u,
"C909, C910",0402,2,30p,C1570
"D1, D10, D11, D12, D13, D14, D15, D16, D19, D2, D20, D24, D25, D3, D4, D5, D6, D7, D8, D9, D904",D_SOD-123,21,B5819W SL,C8598
D17,0603,1,LED RED,C2286
D18,0603,1,LED WHITE,C2290
"D21, D22, D23",D_SMB,3,SMBJ6.5CA,C7420377
D26,D_SMB,1,SMBJ30CA,C353367
D27,0603,1,LED BLUE,C189307
D901,0603,1,LED GREEN,C2297
J901,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,C165948
L1,L_MODBUS,1,22uH,C5289423
Q1,SOT-23,1,AO3400A,C20917
"R1, R14, R2, R3, R4, R5, R6, R7, R8",0402,9,4k7,
"R10, R13, R907",0402,3,10k,
R11,0402,1,100k,
R12,0402,1,56k,
"R15, R16, R905",0402,3,470R,
R9,0402,1,470,
"R901, R902",0402,2,5.1K,
"R903, R904",0402,2,27R,
"R906, R908",0402,2,1K,
SW1,dip_switch_SPST16,1,dip_switch_SPST16,C470473
SW901,SW_TS-1187A-B-A-B,1,SW_MEC_5E,C318884
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,SP3485EN-L/TR,C8963
U2,SOT-23-6,1,AOZ1282CI,C111916
U901,RP2040-QFN-56,1,RP2040,C2040
U902,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U903,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
Y901,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24_Small,C9002
